22:43:16.161648 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10272736:10272980, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161734 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10272980:10273224, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161817 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10273224:10273468, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.161912 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10273468:10273712, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162004 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10273712:10273956, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162094 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10273956:10274200, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162189 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10274200:10274444, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162281 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10274444:10274688, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162376 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10274688:10274932, ack 5941, win 1972, options [nop,nop,TS val 3359211465 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162513 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10274932:10275176, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162618 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10275176:10275420, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162714 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10275420:10275664, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162798 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10275664:10275908, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162893 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10275908:10276152, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.162998 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10276152:10276396, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163097 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10276396:10276640, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163198 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10276640:10276884, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163285 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10276884:10277128, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163376 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10277128:10277372, ack 5941, win 1972, options [nop,nop,TS val 3359211466 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163489 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10277372:10277616, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163588 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10277616:10277860, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163679 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10277860:10278104, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163777 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10278104:10278348, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163867 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10278348:10278592, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.163954 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10278592:10278836, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164038 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10278836:10279080, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164121 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10279080:10279324, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164214 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10279324:10279568, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164324 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10279568:10279812, ack 5941, win 1972, options [nop,nop,TS val 3359211467 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164418 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10279812:10280056, ack 5941, win 1972, options [nop,nop,TS val 3359211468 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.164505 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10280056:10280300, ack 5941, win 1972, options [nop,nop,TS val 3359211468 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168000 IP 66.11.178.156.52947 > 165.22.226.250.22: Flags [.], ack 10164908, win 65401, options [nop,nop,TS val 484692838 ecr 3359211374], length 0
22:43:16.168093 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10280300:10280544, ack 5941, win 1972, options [nop,nop,TS val 3359211471 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168307 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10280544:10280940, ack 5941, win 1972, options [nop,nop,TS val 3359211471 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 396
22:43:16.168429 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10280940:10281184, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168542 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10281184:10281428, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168659 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10281428:10281672, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168758 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10281672:10281916, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168872 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10281916:10282160, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.168966 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10282160:10282404, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169060 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10282404:10282648, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169176 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10282648:10282892, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169276 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10282892:10283136, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169373 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10283136:10283380, ack 5941, win 1972, options [nop,nop,TS val 3359211472 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169503 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10283380:10283624, ack 5941, win 1972, options [nop,nop,TS val 3359211473 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
22:43:16.169596 IP 165.22.226.250.22 > 66.11.178.156.52947: Flags [P.], seq 10283624:10283868, ack 5941, win 1972, options [nop,nop,TS val 3359211473 ecr 484692681,nop,nop,sack 1 {5977:6157}], length 244
